Date,SPY,,,TA35.TA,,,IEI,,,LQD,,,,,,
4/15/2022,-0.010583129,0.47,0.1,0.013319481,0.21,0.06,-0.001725441,0.19,0.75,-0.025327511,0.11,0.2,-0.00529084,967.0848426,963.6765361,-0.006618727
4/16/2022,-0.009751854,0.47,0.1,-0.052613368,0.21,0.06,0.00382952,0.19,0.75,0.03394527,0.11,0.2,-0.011170591,956.2819338,969.0049023,0.005529206
4/17/2022,0.003560052,0.47,0.1,0.032554856,0.21,0.06,-0.000617896,0.19,0.75,0.007210124,0.11,0.2,0.009185457,965.0658207,972.1908926,0.003287899
4/18/2022,-0.004282521,0.47,0.1,0.005180072,0.21,0.06,-0.000216171,0.19,0.75,0.007096282,0.11,0.2,-0.000185451,964.886848,973.2988797,0.001139681
4/19/2022,0.014615701,0.47,0.1,-0.007317693,0.21,0.06,-0.000602949,0.19,0.75,-0.007256935,0.11,0.2,0.004419841,969.1514944,972.4413158,-0.00088109
4/20/2022,0.009025238,0.47,0.1,0.019160768,0.21,0.06,-0.000656465,0.19,0.75,-0.010675751,0.11,0.2,0.006966562,975.9031486,971.8818418,-0.000575329
4/21/2022,-0.046018083,0.47,0.1,0.040845319,0.21,0.06,0.002859167,0.19,0.75,0.000534152,0.11,0.2,-0.012448984,963.7541463,971.979143,0.000100116
4/22/2022,0.06000433,0.47,0.1,-0.059430975,0.21,0.06,-0.000723582,0.19,0.75,0.0172065,0.11,0.2,0.017476765,980.5974506,977.1628904,0.005333188
4/23/2022,-0.036084338,0.47,0.1,0.037470182,0.21,0.06,0.00082436,0.19,0.75,-0.006358565,0.11,0.2,-0.009633714,971.1506549,975.1952106,-0.002013666
4/24/2022,-0.002578584,0.47,0.1,-0.045616032,0.21,0.06,-0.002054727,0.19,0.75,-0.017019745,0.11,0.2,-0.013053871,958.4733792,967.4523416,-0.007939814
4/25/2022,0.001530647,0.47,0.1,0.015127528,0.21,0.06,0.003736233,0.19,0.75,0.00762887,0.11,0.2,0.005445245,963.6925014,972.6656183,0.005388665
4/26/2022,0.024961287,0.47,0.1,-0.012139749,0.21,0.06,-0.000157438,0.19,0.75,-0.006329262,0.11,0.2,0.008456326,971.841799,973.03894,0.000383813
4/27/2022,0.015271727,0.47,0.1,0.006187077,0.21,0.06,0.000152864,0.19,0.75,0.037722169,0.11,0.2,0.01265548,984.1409239,982.3387395,0.009557479
4/28/2022,-0.010821294,0.47,0.1,-0.011277263,0.21,0.06,-0.004660134,0.19,0.75,-0.023869434,0.11,0.2,-0.010965297,973.3495267,972.48809,-0.010027752
4/29/2022,0.013707139,0.47,0.1,-0.004759842,0.21,0.06,0.002266836,0.19,0.75,-0.013565266,0.11,0.2,0.004381308,977.6140708,972.5583006,7.21969E-05
4/30/2022,0.018490499,0.47,0.1,0.00857183,0.21,0.06,-0.000413251,0.19,0.75,0.022533642,0.11,0.2,0.012890802,990.2163001,978.9384288,0.00656015
5/1/2022,-0.042684282,0.47,0.1,-0.048840129,0.21,0.06,-0.000333124,0.19,0.75,0.007857842,0.11,0.2,-0.02951697,960.9881148,973.1850993,-0.005877111
